Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
7831721,410038,425707,2,44046,1951,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,43,Car,Vehicle or pillion passenger,Slight,Male,38,,,,,,,,,,,,,,,,,,,,
7841382,393378,423857,2,44047,1756,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,21,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7880536,408637,423515,1,44051,0624,A,Dry,Daylight: street lights present,Fine without high winds,Agricultural vehicle (includes diggers etc .),Driver or rider,Slight,Male,42,,,,,,,,,,,,,,,,,,,,,,,,,
7890362,408432,425620,1,44052,0250,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious,Male,31,,,,,,,,,,,,,,,,,,,,,,,,,
78A0657,407969,425799,2,44053,1125,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,14,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78A1750,407801,426790,2,44053,1850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,12,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78C0893,411568,429348,2,44055,1230,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,18,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78D1421,407197,425142,2,44056,1728,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,60,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78H0794,416466,422064,2,44060,1300,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30,Car,Vehicle or pillion passenger,Slight,Male,31,,,,,,,,,,,,,,,,,,,,
78J0441,412971,429007,2,44062,0841,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,17,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78J0777,407931,425152,2,44062,1259,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,55,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78J1127,405476,423024,2,44062,1620,A,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,49,Car,Vehicle or pillion passenger,Slight,Male,40,,,,,,,,,,,,,,,,,,,,
78K0139,408543,426349,1,44063,0217,A,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Male,13,,Vehicle or pillion passenger,Slight,Male,13,,Vehicle or pillion passenger,Slight,Male,15,,Vehicle or pillion passenger,Slight,Male,14,,Driver or rider,Slight,Male,13,,,,,
78M0765,407305,425312,2,44065,1216,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,54,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78M1017,416036,423626,2,44065,1423,A,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Fatal,Female,21,Car,Driver or rider,Slight,Male,21,,Driver or rider,Serious,Male,46,,,,,,,,,,,,,,,
78Q0762,408049,426751,1,44069,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,35,,,,,,,,,,,,,,,,,,,,,,,,,
78Q1301,411027,420829,2,44069,1726,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,19,Motorcycle over 50cc and up to 125cc,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78Q1724,407386,425506,1,44069,2046,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,Car,Pedestrian,Slight,Male,59,,,,,,,,,,,,,,,,,,,,,,,,,
78T1076,399116,420536,1,44072,1503,B,Wet / damp,Daylight: street lights present,Raining without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,55,,,,,,,,,,,,,,,,,,,,,,,,,
78T1276,412465,425581,2,44072,1652,A,Wet / damp,Daylight: street lights present,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,30,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
78T1567,409739,423207,2,44072,1926,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,20,Car,Vehicle or pillion passenger,Slight,Female,65,,,,,,,,,,,,,,,,,,,,
78T2079,406770,428300,2,44072,2310,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,31,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7910617,414538,421297,2,44075,1155,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7911916,413041,425383,2,44075,2213,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,23,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7921520,407701,427458,1,44076,1640,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,10,,,,,,,,,,,,,,,,,,,,,,,,,
7940805,416733,422435,2,44078,1320,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,21,Car,Driver or rider,Slight,Female,21,,,,,,,,,,,,,,,,,,,,
7941143,406821,427603,2,44078,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,25,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7961555,406838,426075,1,44080,1850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,3,,,,,,,,,,,,,,,,,,,,,,,,,
7970515,403253,419109,3,44081,1109,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,46,Car,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,
7990531,416393,422136,5,44083,1045,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,62,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,28,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,Goods vehicle 7.5 tonnes mgw and over,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,
7990899,408195,423782,1,44083,1410,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,39,,Pedestrian,Slight,Male,76,,,,,,,,,,,,,,,,,,,,
7991272,409049,426036,1,44083,1650,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,10,,,,,,,,,,,,,,,,,,,,,,,,,
79A0895,389877,426223,2,44084,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,36,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
79A1818,405841,423430,2,44084,2139,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,55,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
79A1819,405668,423353,1,44084,2138,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,59,,,,,,,,,,,,,,,,,,,,,,,,,
79B0983,416890,422606,3,44085,1445,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,57,Motorcycle over 500cc,Not known,Not known,Not known,Not known,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,
79D1072,408421,426972,1,44087,1514,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,,Vehicle or pillion passenger,Slight,Male,22,,,,,,,,,,,,,,,,,,,,
79E1532,391922,423503,2,44088,1805,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,57,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
79F0595,405626,428045,2,44089,1026,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,70,Goods vehicle 7.5 tonnes mgw and over,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
79F1479,398089,427027,1,44089,1530,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Female,31,,,,,,,,,,,,,,,,,,,,,,,,,
79K1697,407544,426316,3,44094,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,40,Car,Vehicle or pillion passenger,Slight,Female,26,Car,Driver or rider,Slight,Female,29,,Vehicle or pillion passenger,Serious,Male,5,,Driver or rider,Slight,Male,28,,,,,
79L0328,408250,427180,2,44095,0852,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,41,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
79N0970,414365,422456,1,44095,1420,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,28,,,,,,,,,,,,,,,,,,,,,,,,,
79S0260,410268,424397,1,44102,0831,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Fatal,Female,1,,,,,,,,,,,,,,,,,,,,,,,,,
7A41535,407632,425438,1,44108,1845,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,4,,,,,,,,,,,,,,,,,,,,,,,,,
7A41735,408275,425285,2,44108,2019,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,47,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7A50331,413633,423200,2,44109,0705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7A81653,406540,429062,1,44112,2027,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,12,,,,,,,,,,,,,,,,,,,,,,,,,
7A91401,414708,424475,2,44113,1800,Unclassified,Dry,Darkness: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,44,Car,Vehicle or pillion passenger,Slight,Female,38,,,,,,,,,,,,,,,,,,,,
7AC0226,407423,424775,2,44116,0805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,Vehicle or pillion passenger,Slight,Female,15,,,,,,,,,,,,,,,,,,,,
7AE0525,413781,425397,2,44118,0845,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,52,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7AF2048,393912,420850,1,44119,2355,A,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,29,,Vehicle or pillion passenger,Slight,Female,23,,,,,,,,,,,,,,,,,,,,
7AG1509,409392,424130,2,44120,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7AL0758,414673,423158,1,44125,1256,Unclassified,Wet /  damp,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,18,,,,,,,,,,,,,,,,,,,,,,,,,
7AO1559,414682,422496,2,44128,1942,A,Wet /  damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,39,Car,Vehicle or pillion passenger,Slight,Female,69,,Driver or rider,Slight,Male,20,,,,,,,,,,,,,,,
7AU1579,409849,423637,2,44135,1913,Unclassified,Wet /  damp,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,24,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7AV0373,403789,419614,2,44135,0630,Unclassified,Wet /  damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,31,Car,Vehicle or pillion passenger,Slight,Male,35,,,,,,,,,,,,,,,,,,,,
7B30783,414827,426035,2,44138,1341,Unclassified,Wet /  damp,Daylight: street lights present,Raining without high winds,Other vehicle,Driver or rider,Slight,Female,59,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7B40972,407904,425383,1,44139,1449,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Fatal,Female,86,,,,,,,,,,,,,,,,,,,,,,,,,
7B50343,411440,419597,2,44140,0805,A,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,51,Taxi/Private hire car,Driver or rider,Slight,Male,53,,,,,,,,,,,,,,,,,,,,
7B70414,409590,422346,2,44142,0855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,66,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7BD0784,409307,425056,1,44148,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,74,,,,,,,,,,,,,,,,,,,,,,,,,
7BF0017,409658,423534,2,44150,0012,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,29,Car,Driver or rider,Slight,Female,26,,Vehicle or pillion passenger,Slight,Male,46,,,,,,,,,,,,,,,
7BF1101,420207,426250,2,44150,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,30,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7BG0203,416478,422070,2,44151,0655,A,Wet / damp,Daylight: street lights present,Raining with high winds,Car,Driver or rider,Slight,Female,24,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7BJ0208,407195,426553,2,44154,0740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,46,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,14,,,,,,,,,,,,,,,,,,,,
7BJ1255,415964,422465,2,44154,1715,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,25,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7BK0305,406555,422594,1,44155,0857,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,38,,,,,,,,,,,,,,,,,,,,,,,,,
7BN0248,410389,425990,2,44158,0820,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,56,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7BO0989,393667,424138,1,44159,1522,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,14,,,,,,,,,,,,,,,,,,,,,,,,,
7BP0812,409159,428791,3,44160,1344,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,77,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight,Female,79,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,
7BP0818,407216,424733,2,44160,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,89,Car,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7BR1093,398686,414642,2,44162,1555,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,40,Car,Vehicle or pillion passenger,Slight,Male,7,,Driver or rider,Serious,Male,58,,Vehicle or pillion passenger,Serious,Female,15,,,,,,,,,,
7C31556,408733,425459,1,44168,1645,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,25,,,,,,,,,,,,,,,,,,,,,,,,,
7C50503,401178,426064,2,44170,1035,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,48,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7CC1315,409593,422348,2,44177,1515,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,55,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7CG0261,413869,421632,1,44181,0824,A,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,17,,,,,,,,,,,,,,,,,,,,,,,,,
7CI0343,405779,424760,1,44183,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,40,,,,,,,,,,,,,,,,,,,,,,,,,
7CI0721,410478,424451,2,44183,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,66,Goods vehicle 3.5 tonnes mgw and under,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7CV0276,414271,422889,2,44196,0656,A,Frost / ice,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,22,Bus or coach (17 or more passenger seats),Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
7CV0566,414915,422895,2,44196,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,31,Pedal cycle,Not known,Not known,Not known,Not known,,,,,,,,,,,,,,,,,,,,
