DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
6905,Trinity Academy Halifax,Secondary,Academy sponsor led,Principal,Mrs Sarah Case,Shay Lane,,,Halifax,HX2 9TZ,Illingworth and Mixenden,01422 244890,https://halifax.trinitymat.org,No,984,45309,408282,428628,53.75397,-1.875881,Secondary,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,,010090365804
2026,Trinity Academy St Chad's,Primary,Academy sponsor led,,Ms Rachel Dawson,Upper Green Lane,Hove Edge,,Brighouse,HD6 2PA,Brighouse,01484 712361,https://stchads.trinitymat.org/,No,144,45309,413270,424304,53.715001,-1.800415,East Calderdale,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,,100051997021
2035,Trinity Academy St Peter's,Primary,Academy sponsor led,,Mr Mathew Brown,St Peter's Avenue,Sowerby,,Sowerby Bridge,HX6 1HB,Ryburn,01422 831971,https://stpeters.trinitymat.org/,Yes,103,45309,404318,423064,53.704005,-1.93607,Sowerby Bridge,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,,010006748428
4003,Trinity Sixth Form Academy,16 plus,Free schools 16 to 19,,Mr Michael Fitzsimons,Northgate House,,,Halifax,HX1 1UN,Town,01422 240033,https://sixth.trinitymat.org/,No,746,45309,409392,425282,53.72386,-1.859142,Secondary,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,,010095601905
2067,Tuel Lane Infant School,Primary,Community school,Headteacher,Headteacher Alison Embleton,Clay Street,Tuel Lane,,Sowerby Bridge,HX6 2ND,Sowerby Bridge,01422 831221,www.tuellaneinfantschool.co.uk,Yes,80,45309,405850,423905,53.711549,-1.912848,Sowerby Bridge,,,,100052189245
2027,Wainstalls School,Primary,Academy converter,Headteacher,Mrs Linda Waugh,Wainstalls,,,Halifax,HX2 7TE,Luddendenfoot,01422 244804,http://www.wainstalls.org.uk,No,201,45309,404667,428435,53.752277,-1.930705,Calder Valley,I-TRUST EDUCATION,I-Trust Education,,100052040001
5208,Walsden St Peter's CE (VC) Primary School,Primary,Voluntary controlled school,Headteachers,Mrs Emma Crowther Esther Logue,Rochdale Road,Walsden,,Todmorden,OL14 6RN,Todmorden,01706 812947,www.walsden.calderdale.sch.uk,No,173,45309,393178,422304,53.696867,-2.104406,Todmorden,,,,010035035609
2028,Warley Road Primary Academy,Primary,Academy converter,Headteacher,Mrs Sarah Tindal,Warley Road,,,Halifax,HX1 3TG,Park,01422 353724,www.warleyroad.co.uk,Yes,539,45309,407281,424575,53.717556,-1.891152,Sowerby Bridge,IMPACT EDUCATION MULTI ACADEMY TRUST,Impact Education Multi Academy Trust,,100052038899
2030,Warley Town School,Primary,Community school,Headteacher,Mrs Jenny Stott,Dark Lane,Warley,,Halifax,HX2 7QD,Warley,01422 831592,http://www.warleytown.org.uk,No,132,45309,405668,424681,53.718526,-1.915591,Calder Valley,,,,100052040000
2016,West Vale Academy,Primary,Academy sponsor led,,Miss Laura Horsfall,Stainland Road,West Vale,,Halifax,HX4 8LS,Greetland and Stainland,01422 372804,https://www.westvaleacademy.org.uk/,No,98,45309,409767,421282,53.687916,-1.853585,Elland,GREAT HEIGHTS ACADEMY TRUST,Great Heights Academy Trust,,010006740089
2031,Whitehill Community Academy,Primary,Academy converter,Headteacher,Mr Jon Boyle,Occupation Lane,Illingworth,,Halifax,HX2 9RL,Illingworth and Mixenden,01422 244471,www.whitehillacademy.org,Yes,671,45309,407493,428846,53.755938,-1.887838,North Halifax,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,,010035038240
2046,Withinfields Primary School,Primary,Community school,Headteacher,Mrs Helen York,Withinfields,Southowram,,Halifax,HX3 9QJ,Town,01422 363581,http://www.withinfields.calderdale.sch.uk,Yes,331,45309,411113,424048,53.71275,-1.833112,East Calderdale,,,,100052041985
7008,Wood Bank School,Special primary,Community special school,Headteacher,Mrs Jenna Port,Dene View,Luddenden,,Halifax,HX2 6PB,Luddendenfoot,01422 884170,http://www.woodbank.calderdale.sch.uk/,No,122,45309,404035,425630,53.727071,-1.940324,Special,,,,010006745837
2081,Woodhouse Primary School,Primary,Community school,Headteacher,Mrs Anne Crane,Daisy Road,,,Brighouse,HD6 3SX,Rastrick,01484 714750,http://www.woodhouse.calderdale.sch.uk,No,420,45309,414820,421878,53.693155,-1.777044,East Calderdale,,,,010010188915
,,,,,,,,,,,,,,,,,,,,,,,,,
No filters applied,,,,,,,,,,,,,,,,,,,,,,,,,
